Equilibrium Type,Allow Abandon and Defaults,CARA Alpha,Costs Multiplier,Court Signal Sigma,Damages Signal Shaping,Detailed Signal Reporting,Fee Regime,Fee Shifting Multiplier,Fee Shifting Rule,Fee Shifting Trigger,Fees After Nonanswer,Filing and Answering,Information Level,Integration Method,Issue,Liability Signal Shaping,Noise to Produce Case Strength,Number of Court Signals,Number of Offers,Number of Signals,Party Signal Sigma,Probability Truly Liable,Proportion of Costs at Beginning,Quadrature Order,Quality Distribution,Quality-Truth Link,Relative Costs,Risk Aversion,Signal Structure,Specification,Filter,GroupName,OptionSetName,Exploitability,Calculation Time,P Files,D Answers,P Offer,D Offer,Trial,P Win Probability,P Wealth,D Wealth,Total Wealth,Wealth Loss,P Welfare,D Welfare,Pre-Dispute Social Welfare Loss,Social Welfare Loss,Opportunity Cost,Harm Cost,Truly Liable Harm Cost,Truly Not Liable Harm Cost,Expenditures,Defendant Excess Net Monetary Burden,Plaintiff Net Recovery Shortfall,Value If Settled,No Suit,No Answer,Settles,P Abandons,D Defaults,Mutual Give-Up Probability Before 50/50 Allocation,P Loses,P Wins,Appropriation,Reaches Bargaining,Settlement Unconditional,Settlement Conditional on Reaching Bargaining,Real Litigation Costs,Liability Transfer to Plaintiff,Fee-Shifting Transfer to Plaintiff,Total Net Transfer to Plaintiff,Meritorious-Plaintiff Net Recovery Shortfall,Nonliable-Defendant Net Burden,Liable-Defendant Excess Net Burden Above Damages,Net Outcome Fidelity Loss
Only Eq,true,2,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs avoidable at bargaining plus moderate risk aversion,All,,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,-2.2739999999999997E-13,2068,1,1,0.54626200000000003,0.443604,0.20985999999999999,0.512521,10.478899999999999,9.4895700000000005,19.968499999999999,0.031478899999999997,1000.08,999.423,0,0.031478899999999997,0,0,0,0,0.031478899999999997,0.16242899999999999,0.15796499999999999,0.49718000000000001,0,0,0.75654900000000003,0.0229963,0.0105951,0,0.102302,0.107557,0,1,0.756549,0.756549,0.031478899999999997,0.49429313182,0.000394125,0.49468725682,0.315935,0.304754,0.0200992,0.320394
Only Eq,true,2,0.5,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs avoidable at bargaining plus moderate risk aversion,All,,Specification-AllCostsAvoidableModerateRiskAversion__Cost-0.5__Fee-British__ExitFees-AllUnilateralExits,-4.5469999999999997E-13,2258,1,1,0.58598300000000003,0.46911700000000001,0.094192999999999999,0.468862,10.5053,9.4664900000000003,19.971699999999998,0.0282578,1000.09,999.399,0,0.0282578,0,0,0,0,0.0282578,0.17271900000000001,0.14497099999999999,0.55795600000000001,0,0,0.699044,0.120703,0.0860605,0,0.050029200000000003,0.044163399999999998,0,1,0.699044,0.699044,0.0282578,0.520259694064,-0.00087987,0.519379824064,0.289946,0.329927,0.0155068,0.31769
Only Eq,true,2,1,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs avoidable at bargaining plus moderate risk aversion,All,,Specification-AllCostsAvoidableModerateRiskAversion__Cost-1__Fee-British__ExitFees-AllUnilateralExits,-1.7050000000000001E-13,1475,1,1,0.57462800000000003,0.35379699999999997,0.020993999999999999,0.57577699999999998,10.457100000000001,9.5302699999999998,19.987400000000001,0.0125963,1000.08,999.50999999999999,0,0.0125963,0,0,0,0,0.0125963,0.14799999999999999,0.18068400000000001,0.385627,0,0,0.485155,0.230555,0.263296,0,0.0089060900000000002,0.012087799999999999,0,1,0.485155,0.485155,0.0125963,0.462472667185,0.000954513,0.463427180185,0.361372,0.286938,0.0090591,0.328684
Only Eq,true,2,2,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs avoidable at bargaining plus moderate risk aversion,All,,Specification-AllCostsAvoidableModerateRiskAversion__Cost-2__Fee-British__ExitFees-AllUnilateralExits,-4.5469999999999997E-13,1454,1,1,0.58871399999999996,0.39530999999999999,0.0040000000000000001,0.42696000000000001,10.523,9.4722399999999993,19.995200000000001,0.0047994099999999996,1000.1,999.49300000000005,0,0.0047994099999999996,0,0,0,0,0.0047994099999999996,0.19464699999999999,0.167935,0.45000000000000001,0,0,0.54158099999999998,0.174129,0.28029,0,0.00229188,0.0017076000000000001,0,1,0.541581,0.541581,0.0047994099999999996,0.52570905,-0.000350568,0.525358482,0.335874,0.387064,0.0022245,0.362582
Only Eq,true,2,4,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Moderately Risk Averse,Continuous merits,All litigation costs avoidable at bargaining plus moderate risk aversion,All,,Specification-AllCostsAvoidableModerateRiskAversion__Cost-4__Fee-British__ExitFees-AllUnilateralExits,-1.1369999999999999E-13,4138,1,1,0.49536200000000002,0.46723300000000001,0.00029,0.55893199999999998,10.461499999999999,9.53782,19.999300000000002,0.00069714699999999996,1000.1,999.62900000000002,0,0.00069714699999999996,0,0,0,0,0.00069714699999999996,0.189411,0.22736500000000001,0.49758999999999998,0,0,0.75559399999999999,0.15846465,0.08565085,0.024245300000000001,0.00012812000000000001,0.00016239999999999999,0,1,0.755594,0.755594,0.00069714699999999996,0.46178926846,0.000041136,0.46183040446,0.454736,0.378344,0.000472,0.416776
Only Eq,true,0,0.25,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs avoidable at bargaining,All,,Specification-AllCostsAvoidable__Cost-0.25__Fee-British__ExitFees-AllUnilateralExits,-1.7760000000000001E-15,278,1,1,0.78968300000000002,0.210309,0.64523799999999998,0.49999399999999999,10.451599999999999,9.4516200000000001,19.903199999999998,0.096785700000000002,10.451599999999999,9.4516200000000001,0,0.096785700000000002,0,0,0,0,0.096785700000000002,0.19513800000000001,0.16308400000000001,0.49998900000000002,0,0,0.35476200000000002,0,0,0,0.32262299999999999,0.32261499999999999,0,1,0.354762,0.354762,0.096785700000000002,0.499992097618,-0.0000006,0.499991497618,0.326173,0.326161,0.0641123,0.358222
Only Eq,true,0,0.5,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs avoidable at bargaining,All,,Specification-AllCostsAvoidable__Cost-0.5__Fee-British__ExitFees-AllUnilateralExits,-8.8820000000000011E-16,545,1,1,0.69412099999999999,0.30586799999999997,0.44122499999999998,0.49999500000000002,10.4338,9.4338300000000004,19.867599999999999,0.13236700000000001,10.4338,9.4338300000000004,0,0.13236700000000001,0,0,0,0,0.13236700000000001,0.21257599999999999,0.17032600000000001,0.49998999999999999,0,0,0.55877500000000002,0,0,0,0.22061500000000001,0.22061,0,1,0.558775,0.558775,0.13236700000000001,0.49999191225,-0.00000075,0.49999116225,0.340656,0.340644,0.0845049,0.382902
Only Eq,true,0,1,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs avoidable at bargaining,All,,Specification-AllCostsAvoidable__Cost-1__Fee-British__ExitFees-AllUnilateralExits,-8.8820000000000011E-16,383,1,1,0.78968300000000002,0.210309,0.25620500000000002,0.49999700000000002,10.4231,9.4231499999999997,19.846299999999999,0.153723,10.4231,9.4231499999999997,0,0.153723,0,0,0,0,0.153723,0.21913199999999999,0.17166999999999999,0.49998900000000002,0,0,0.35476200000000002,0.1945215,0.1945115,0.023823,0.12810299999999999,0.12810199999999999,0,1,0.354762,0.354762,0.153723,0.499990597618,-0.0000003,0.499990297618,0.343344,0.343329,0.0949314,0.390802
Only Eq,true,0,2,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs avoidable at bargaining,All,,Specification-AllCostsAvoidable__Cost-2__Fee-British__ExitFees-AllUnilateralExits,3.5529999999999999E-15,420,1,1,0.87759500000000001,0.122403,0.118738,0.499996,10.428699999999999,9.4287700000000001,19.857500000000002,0.142486,10.428699999999999,9.4287700000000001,0,0.142486,0,0,0,0,0.142486,0.21365500000000001,0.17079800000000001,0.49999300000000002,0,0,0.16078899999999999,0.3602435,0.3602295,0.104869,0.059369499999999999,0.059368600000000001,0,1,0.160789,0.160789,0.142486,0.499991474477,-0.00000054,0.499990934477,0.341601,0.341588,0.0857185,0.384453
Only Eq,true,0,4,0.2000000000,Identity,true,British,1,English,Trial and unilateral exit,true,Endogenous,1x,Gauss-Legendre,Liability,Identity,N/A,2,10,10,0.2000000000,0.5,0,64,Uniform [0..1] continuous quality,T | Q ~ Bernoulli(Q),1,Risk Neutral,Continuous merits,All litigation costs avoidable at bargaining,All,,Specification-AllCostsAvoidable__Cost-4__Fee-British__ExitFees-AllUnilateralExits,1.7760000000000001E-15,351,1,1,0.70601499999999995,0.29395199999999999,0.041005,0.49998799999999999,10.450799999999999,9.4507999999999992,19.901599999999998,0.098412899999999998,10.450799999999999,9.4507999999999992,0,0.098412899999999998,0,0,0,0,0.098412899999999998,0.199962,0.17091700000000001,,0,0,0,0.479505,0.47949,0.25620999999999999,0.020503199999999999,0.020502200000000002,0,1,0,0,0.098412899999999998,0.4999922,-0.0000012,0.499991,0.341839,0.341826,0.0580953,0.370879
